company,job_title,country,city,district,job_type
Abacus Technology,Database Administrator,Saudi Arabia,Qatif,,Full Time
Qureos,Operations Officer – Umrah JEDDAH BASED - Tiger Recruitment Ltd,Saudi Arabia,Riyadh,,Full Time
Qureos,Maintenance Inventory Coordinator - ALPLA PLASTICS MIDDLE EAST SAUDI INDUSTRIAL LTD CO.,Saudi Arabia,Riyadh,,Full Time
Qureos,Project Coordinator - deugro group,Saudi Arabia,Riyadh,,Full Time
EELU,Communications Engineer,Egypt,Giza,Dokki,Full Time
HungerStation LTD,Staff Security Engineer,United Arab Emirates,Dubai,,Full Time
HungerStation LTD,Senior Software Engineer - Backend,United Arab Emirates,Dubai,,Full Time
IBM WTC Egypt,Data Engineer-Data Integration,Egypt,Cairo,,Full Time
Raytheon,Interactive Learning Specialist (KSA),Saudi Arabia,Riyadh,,Full Time
Antal International - Egypt,GTM SAP DSD Sub-Lead,Egypt,Cairo,,Full Time
Logistica,ERP Specialist - Microsoft Dynamics AX2012/365,Egypt,Giza,6th of October,Full Time
Logistica,Applications Supervisor,Egypt,Giza,6th of October,Full Time
Estafsar,UI/UX Developer,Egypt,Cairo,Downtown,Full Time
Xceed Contact Center,Information Services Administrator,Egypt,Giza,6th of October,Full Time
Etisalat Egypt,NOC Senior Engineer,Egypt,Giza,6th of October,Full Time
United Group For Engineering And Investment,Senior IT Specialist,Egypt,Cairo,Nasr City,Full Time
Confidential,Front End Developer (Angular),Egypt,Cairo,,Full Time
Confidential,Front End Developer (Angular),Egypt,Cairo,,Work From Home
Ultimate Academy Not Verified,ERP Sales Representative,Egypt,Giza,Sheikh Zayed,Full Time
Confidential,Backend Developer (Java Spring Boot),Egypt,Cairo,,Full Time
Confidential,Backend Developer (Java Spring Boot),Egypt,Cairo,,Work From Home
Link Datacenter,Junior Operations Engineer - Network/Cloud,Egypt,Giza,,Full Time
Link Datacenter,Software Quality Control Engineer,Egypt,Cairo,Maadi,Full Time
Link Datacenter,SOC Analyst,Egypt,Giza,,Full Time
WSC,Senior NET Developer,Egypt,Giza,Dokki,Full Time
ثقة الانجاز,Senior Flutter Developer,Egypt,Cairo,New Cairo,Full Time
ثقة الانجاز,Senior Quality Control Engineer,Egypt,Cairo,New Cairo,Full Time
El-Sewedy Electrometer,Senior Full Stack Developer,Egypt,Giza,6th of October,Full Time
ثقة الانجاز,Senior Backend Developer,Egypt,Cairo,New Cairo,Full Time
ثقة الانجاز,Senior Frontend Developer,Egypt,Cairo,New Cairo,Full Time
CyberX,Laravel Developer,Egypt,Cairo,,Full Time
CyberX,Flutter developer,Egypt,Cairo,,Full Time
CyberX,Vue.JS Frontend Developer,Egypt,Cairo,,Full Time
Confidential,Network Section Head,Egypt,Giza,Mohandessin,Full Time
Softec Technologies,Senior iOS and Flutter Developer,Egypt,Cairo,Maadi,Full Time
qTech.,Team Leader Software Tester / Quality Control Engineer,Egypt,Dakahlia,Mansoura,Full Time
AGG information technology,Software Engineer,Egypt,Cairo,Nasr City,Full Time
waffarha.com,Sr. Devops Engineer,Egypt,Cairo,Downtown,Full Time
3D Diagnostix,Technical Support Agent (Fluent English Speaker),Egypt,Cairo,Maadi,Full Time
Art Link,Senior Backend Developer,Egypt,Alexandria,Smouha,Full Time
