company,job_title,country,city,district,job_category
Alstom,Cyber Security Architect,Egypt,Cairo,New Cairo,IT/Software Development
Alstom,Cyber Security Architect,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Alstom,Automation Testing (Verification & Validation) Engineer,Egypt,Cairo,New Cairo,IT/Software Development
Alstom,Automation Testing (Verification & Validation) Engineer,Egypt,Cairo,New Cairo,Engineering - Telecom/Technology
Alstom,Automation Testing (Verification & Validation) Engineer,Egypt,Cairo,New Cairo,Engineering - Mechanical/Electrical
Confidential,Fin-Tech Software Engineering Consultant,Egypt,Cairo,,IT/Software Development
Confidential,Fin-Tech Software Engineering Consultant,Egypt,Cairo,,Engineering - Telecom/Technology
acwme,Magento Developer,Egypt,Cairo,Downtown,Installation/Maintenance/Repair
acwme,Magento Developer,Egypt,Cairo,Downtown,IT/Software Development
acwme,Magento Developer,Egypt,Cairo,Downtown,Engineering - Telecom/Technology
RUSHBRUSH INC,Junior React Native Mobile Developer,Egypt,Alexandria,,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,System Implementation Engineer,Egypt,Giza,Smart Village,IT/Software Development
Fawry for Banking Technology and Electronic Payments S.A.E,System Implementation Engineer,Egypt,Giza,Smart Village,Engineering - Telecom/Technology
Procoor,.NET Developer / React,Egypt,Cairo,Heliopolis,IT/Software Development
Procoor,.NET Developer / React,Egypt,Cairo,Heliopolis,Engineering - Telecom/Technology
Confidential,IT Help Desk Engineer,Egypt,Cairo,,IT/Software Development
Confidential,IT Help Desk Engineer,Egypt,Cairo,,Engineering - Telecom/Technology
Global Academic Foundation Hosting University of Hertfordshire UH,Network & Security Engineer / Administrator,Egypt,Cairo,New Capital,IT/Software Development
Global Academic Foundation Hosting University of Hertfordshire UH,Network & Security Engineer / Administrator,Egypt,Cairo,New Capital,Engineering - Telecom/Technology
Global Academic Foundation Hosting University of Hertfordshire UH,IT Help Desk Officer,Egypt,Cairo,New Capital,Installation/Maintenance/Repair
Global Academic Foundation Hosting University of Hertfordshire UH,IT Help Desk Officer,Egypt,Cairo,New Capital,IT/Software Development
Confidential,Software Engineer,Egypt,Giza,Giza,IT/Software Development
NCR,Genesys Technical Support Consultant (Security Engineer),Egypt,Giza,,IT/Software Development
Promech Engineering,Application Developer,Egypt,Cairo,Maadi,IT/Software Development
Promech Engineering,Application Developer,Egypt,Cairo,Maadi,Engineering - Telecom/Technology
